id,category,rank,english,korean,example,datasetVersion,sourceType
1,Conversation Chunk,1,I think so.,그런 것 같아.,I think so. That should work.,2.0,curated-speaking-core
2,Conversation Chunk,2,I don't think so.,아닌 것 같아.,I don't think so. We need another option.,2.0,curated-speaking-core
3,Conversation Chunk,3,I don't know.,모르겠어.,I don't know what happened.,2.0,curated-speaking-core
4,Conversation Chunk,4,I have no idea.,전혀 모르겠어.,I have no idea why it failed.,2.0,curated-speaking-core
5,Conversation Chunk,5,I know what you mean.,무슨 말인지 알아.,I know what you mean. It can be confusing.,2.0,curated-speaking-core
6,Conversation Chunk,6,I see what you mean.,무슨 뜻인지 알겠어.,I see what you mean now.,2.0,curated-speaking-core
7,Conversation Chunk,7,What do you mean?,무슨 뜻이야?,What do you mean by that?,2.0,curated-speaking-core
8,Conversation Chunk,8,It depends.,경우에 따라 달라.,It depends on the situation.,2.0,curated-speaking-core
9,Conversation Chunk,9,That makes sense.,말이 되네.,That makes sense to me.,2.0,curated-speaking-core
10,Conversation Chunk,10,Sounds good.,좋아.,Sounds good. Let's do that.,2.0,curated-speaking-core
11,Conversation Chunk,11,That's fine.,괜찮아.,That's fine with me.,2.0,curated-speaking-core
12,Conversation Chunk,12,Not really.,딱히 그렇진 않아.,Do you like it? Not really.,2.0,curated-speaking-core
13,Conversation Chunk,13,I'm not sure.,잘 모르겠어.,I'm not sure if that's correct.,2.0,curated-speaking-core
14,Conversation Chunk,14,Let me think.,생각 좀 해볼게.,Let me think about it.,2.0,curated-speaking-core
15,Conversation Chunk,15,Give me a second.,잠깐만.,Give me a second. I'm checking.,2.0,curated-speaking-core
16,Conversation Chunk,16,Hold on.,잠깐만.,Hold on. I need to check something.,2.0,curated-speaking-core
17,Conversation Chunk,17,Wait a minute.,잠깐만.,Wait a minute. Something is wrong.,2.0,curated-speaking-core
18,Conversation Chunk,18,"By the way,",그런데 / 그건 그렇고,"By the way, did you get my message?",2.0,curated-speaking-core
19,Conversation Chunk,19,"Actually,",사실은,"Actually, I changed my mind.",2.0,curated-speaking-core
20,Conversation Chunk,20,"Basically,",기본적으로 / 쉽게 말하면,"Basically, the process is the same.",2.0,curated-speaking-core
21,Conversation Chunk,21,"I mean,",내 말은,"I mean, we can try another way.",2.0,curated-speaking-core
22,Conversation Chunk,22,"You know,",있잖아 / 알다시피,"You know, this happens sometimes.",2.0,curated-speaking-core
23,Conversation Chunk,23,"For example,",예를 들면,"For example, we can start with this case.",2.0,curated-speaking-core
24,Conversation Chunk,24,"In that case,",그렇다면,"In that case, let's do it tomorrow.",2.0,curated-speaking-core
25,Conversation Chunk,25,At least,적어도,At least we know the cause now.,2.0,curated-speaking-core
26,Conversation Chunk,26,It looks like...,~인 것 같아.,It looks like the server is down.,2.0,curated-speaking-core
27,Conversation Chunk,27,It seems like...,~인 것 같아.,It seems like there's a problem.,2.0,curated-speaking-core
28,Conversation Chunk,28,I feel like...,~하고 싶은 기분이야 / ~인 느낌이야,I feel like taking a break.,2.0,curated-speaking-core
29,Conversation Chunk,29,I'd like to...,~하고 싶어.,I'd like to learn more about it.,2.0,curated-speaking-core
30,Conversation Chunk,30,I want to...,~하고 싶어.,I want to try it.,2.0,curated-speaking-core
31,Conversation Chunk,31,I need to...,~해야 해.,I need to check the logs.,2.0,curated-speaking-core
32,Conversation Chunk,32,I have to...,~해야 해.,I have to leave now.,2.0,curated-speaking-core
33,Conversation Chunk,33,I'm going to...,~할 거야.,I'm going to call him later.,2.0,curated-speaking-core
34,Conversation Chunk,34,I'm trying to...,~하려고 하고 있어.,I'm trying to understand the issue.,2.0,curated-speaking-core
35,Conversation Chunk,35,I'm looking for...,~을 찾고 있어.,I'm looking for a better solution.,2.0,curated-speaking-core
36,Conversation Chunk,36,I'm thinking about...,~을 생각 중이야.,I'm thinking about changing jobs.,2.0,curated-speaking-core
